PROBLEM TYPE NAME,PROBLEM,ADDITIONAL INFO,SOLUTION,ACTUAL PROBLEM,SUPPORT TYPE,SOLVED COMMENT,combined_text,cleaned_combined_text
Online Gaming Issue,PUBG Mobile..,Auto close by sub tt:10348358,Not available,PUBG Mobile,Field Support,Not available,Online Gaming Issue PUBG Mobile.. PUBG Mobile Field Support Auto close by sub tt:10348358 Not available,online gaming issue pubg mobile.. pubg mobile field support auto close sub tt:10348358 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10224242,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10224242 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10224242 available
Accounts Related Issue,Account Disabled..,Auto close by sub tt:10380291,Not available,Account Disabled,Field Support,Not available,Accounts Related Issue Account Disabled.. Account Disabled Field Support Auto close by sub tt:10380291 Not available,account related issue account disabled.. account disabled field support auto close sub tt:10380291 available
Slow Internet Connection (FTTH),Low power level recorded [< -2..,Auto close by sub tt:10200374,Not available,Low power level recorded [< -26 dbm],Field Support,Not available,Slow Internet Connection (FTTH) Low power level recorded [< -2.. Low power level recorded [< -26 dbm] Field Support Auto close by sub tt:10200374 Not available,slow internet connection (ftth) low power level recorded [< -2.. low power level recorded [< -26 dbm] field support auto close sub tt:10200374 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10163015,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10163015 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10163015 available
Accounts Related Issue,Payment Query..,Auto close by sub tt:10373968,Not available,Payment Query,Field Support,provide required information,Accounts Related Issue Payment Query.. Payment Query Field Support Auto close by sub tt:10373968 provide required information,account related issue payment query.. payment query field support auto close sub tt:10373968 provide required information
General Inquiry,Query about Wi-fi SSID/passwor..,Auto close by sub tt:10283242,Not available,Query about Wi-fi SSID/password,Field Support,call disconnect,General Inquiry Query about Wi-fi SSID/passwor.. Query about Wi-fi SSID/password Field Support Auto close by sub tt:10283242 call disconnect,general inquiry query wi-fi ssid/passwor.. query wi-fi ssid/password field support auto close sub tt:10283242 call disconnect
Accounts Related Issue,IPTV Related Issues...,Auto close by sub tt:10403198,Not available,IPTV Related Issues.,Field Support,tt processing  for stb mac remove,Accounts Related Issue IPTV Related Issues... IPTV Related Issues. Field Support Auto close by sub tt:10403198 tt processing  for stb mac remove,account related issue iptv related issues... iptv related issues. field support auto close sub tt:10403198 tt processing stb mac remove
General Inquiry,Query about Wi-fi SSID/passwor..,Auto close by sub tt:10371097,Not available,Query about Wi-fi SSID/password,Field Support,Not available,General Inquiry Query about Wi-fi SSID/passwor.. Query about Wi-fi SSID/password Field Support Auto close by sub tt:10371097 Not available,general inquiry query wi-fi ssid/passwor.. query wi-fi ssid/password field support auto close sub tt:10371097 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10270238,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10270238 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10270238 available
General Inquiry,Query about Wi-fi SSID/passwor..,Auto close by sub tt:10368627,Not available,Query about Wi-fi SSID/password,Field Support,verified client and informed the current password,General Inquiry Query about Wi-fi SSID/passwor.. Query about Wi-fi SSID/password Field Support Auto close by sub tt:10368627 verified client and informed the current password,general inquiry query wi-fi ssid/passwor.. query wi-fi ssid/password field support auto close sub tt:10368627 verified client informed current password
Accounts Related Issue,Account extend request..,Auto close by sub tt:10266861,Not available,Account extend request,Field Support,extended for 3 days,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10266861 extended for 3 days,account related issue account extend request.. account extend request field support auto close sub tt:10266861 extended 3 day
Accounts Related Issue,Account extend request..,Auto close by sub tt:10438879,Not available,Account extend request,Field Support,account extended through account diagnostics,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10438879 account extended through account diagnostics,account related issue account extend request.. account extend request field support auto close sub tt:10438879 account extended account diagnostics
Accounts Related Issue,Update Clients Accounts Inform..,Auto close by sub tt:10348619,Not available,Update Clients Accounts Information,Field Support,primary number changed done ,Accounts Related Issue Update Clients Accounts Inform.. Update Clients Accounts Information Field Support Auto close by sub tt:10348619 primary number changed done ,account related issue update client account inform.. update client account information field support auto close sub tt:10348619 primary number changed done
Accounts Related Issue,Account Status Query..,Auto close by sub tt:10337321,Not available,Account Status Query,Field Support,informed accordingly //also informed about stb payment,Accounts Related Issue Account Status Query.. Account Status Query Field Support Auto close by sub tt:10337321 informed accordingly //also informed about stb payment,account related issue account status query.. account status query field support auto close sub tt:10337321 informed accordingly //also informed stb payment
General Inquiry,Technical Query..,Auto close by sub tt:10241248,Not available,Technical Query,Field Support,Not available,General Inquiry Technical Query.. Technical Query Field Support Auto close by sub tt:10241248 Not available,general inquiry technical query.. technical query field support auto close sub tt:10241248 available
Accounts Related Issue,General query...,Auto close by sub tt:10255477,Not available,General query.,Field Support,Not available,Accounts Related Issue General query... General query. Field Support Auto close by sub tt:10255477 Not available,account related issue general query... general query. field support auto close sub tt:10255477 available
No Internet Connection (FTTH),No users online in Distributio..,Auto close by sub tt:10261559,Not available,No users online in Distribution/GPON,Field Support,outage solved.,No Internet Connection (FTTH) No users online in Distributio.. No users online in Distribution/GPON Field Support Auto close by sub tt:10261559 outage solved.,internet connection (ftth) user online distributio.. user online distribution/gpon field support auto close sub tt:10261559 outage solved.
Slow Internet Connection (FTTH),Low power level recorded [< -2..,Auto close by sub tt:10223733,Not available,Low power level recorded [< -26 dbm],Field Support,Not available,Slow Internet Connection (FTTH) Low power level recorded [< -2.. Low power level recorded [< -26 dbm] Field Support Auto close by sub tt:10223733 Not available,slow internet connection (ftth) low power level recorded [< -2.. low power level recorded [< -26 dbm] field support auto close sub tt:10223733 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10342303,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10342303 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10342303 available
IPTV Related Issues,Others (IPTV)..,Auto close by sub tt:10324971,Not available,Others (IPTV),Field Support,Not available,IPTV Related Issues Others (IPTV).. Others (IPTV) Field Support Auto close by sub tt:10324971 Not available,iptv related issue others (iptv).. others (iptv) field support auto close sub tt:10324971 available
No Internet Connection (FTTH),No users online in Distributio..,Auto close by sub tt:10367228,Not available,No users online in Distribution/GPON,Field Support,Not available,No Internet Connection (FTTH) No users online in Distributio.. No users online in Distribution/GPON Field Support Auto close by sub tt:10367228 Not available,internet connection (ftth) user online distributio.. user online distribution/gpon field support auto close sub tt:10367228 available
Accounts Related Issue,Online Payment Query..,Auto close by sub tt:10297165,Not available,Online Payment Query,Field Support,guided accordingly,Accounts Related Issue Online Payment Query.. Online Payment Query Field Support Auto close by sub tt:10297165 guided accordingly,account related issue online payment query.. online payment query field support auto close sub tt:10297165 guided accordingly
Slow Internet Connection (FTTH),Low power level recorded [< -2..,Auto close by sub tt:10172446,Not available,Low power level recorded [< -26 dbm],Field Support,Not available,Slow Internet Connection (FTTH) Low power level recorded [< -2.. Low power level recorded [< -26 dbm] Field Support Auto close by sub tt:10172446 Not available,slow internet connection (ftth) low power level recorded [< -2.. low power level recorded [< -26 dbm] field support auto close sub tt:10172446 available
Accounts Related Issue,Account extend request..,Auto close by sub tt:10362266,Not available,Account extend request,Field Support,as per client requested extend done.,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10362266 as per client requested extend done.,account related issue account extend request.. account extend request field support auto close sub tt:10362266 per client requested extend done.
Accounts Related Issue,Update Clients Accounts Inform..,Auto close by sub tt:10234204,Not available,Update Clients Accounts Information,Field Support,sn verified mobile number change ,Accounts Related Issue Update Clients Accounts Inform.. Update Clients Accounts Information Field Support Auto close by sub tt:10234204 sn verified mobile number change ,account related issue update client account inform.. update client account information field support auto close sub tt:10234204 sn verified mobile number change
Slow Internet Connection (FTTH),Speed test fine. Slow experien..,Auto close by sub tt:10318961,Not available,Speed test fine. Slow experience on certain sites,Field Support,Not available,Slow Internet Connection (FTTH) Speed test fine. Slow experien.. Speed test fine. Slow experience on certain sites Field Support Auto close by sub tt:10318961 Not available,slow internet connection (ftth) speed test fine. slow experien.. speed test fine. slow experience certain site field support auto close sub tt:10318961 available
Accounts Related Issue,Others (Accounts)..,Auto close by sub tt:10286562,Not available,Others (Accounts),Field Support,Not available,Accounts Related Issue Others (Accounts).. Others (Accounts) Field Support Auto close by sub tt:10286562 Not available,account related issue others (accounts).. others (accounts) field support auto close sub tt:10286562 available
Accounts Related Issue,Account Status Query..,Auto close by sub tt:10275889,Not available,Account Status Query,Field Support,Not available,Accounts Related Issue Account Status Query.. Account Status Query Field Support Auto close by sub tt:10275889 Not available,account related issue account status query.. account status query field support auto close sub tt:10275889 available
IPTV Related Issues,NETTV extend request..,Auto close by sub tt:10311092,Not available,NETTV extend request,Field Support,call not answered.,IPTV Related Issues NETTV extend request.. NETTV extend request Field Support Auto close by sub tt:10311092 call not answered.,iptv related issue nettv extend request.. nettv extend request field support auto close sub tt:10311092 call answered.
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10145350,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10145350 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10145350 available
Accounts Related Issue,Query about Packages..,Auto close by sub tt:10343213,Not available,Query about Packages,Field Support,Not available,Accounts Related Issue Query about Packages.. Query about Packages Field Support Auto close by sub tt:10343213 Not available,account related issue query packages.. query package field support auto close sub tt:10343213 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10223106,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10223106 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10223106 available
General Inquiry,Technical Query..,Auto close by sub tt:10301692,Not available,Technical Query,Field Support,Not available,General Inquiry Technical Query.. Technical Query Field Support Auto close by sub tt:10301692 Not available,general inquiry technical query.. technical query field support auto close sub tt:10301692 available
No Internet Connection (FTTH),No users online in Distributio..,Auto close by sub tt:10250865,Not available,No users online in Distribution/GPON,Field Support,Not available,No Internet Connection (FTTH) No users online in Distributio.. No users online in Distribution/GPON Field Support Auto close by sub tt:10250865 Not available,internet connection (ftth) user online distributio.. user online distribution/gpon field support auto close sub tt:10250865 available
Slow Internet Connection (FTTH),Low power level recorded [< -2..,Auto close by sub tt:10276578,Not available,Low power level recorded [< -26 dbm],Field Support,Not available,Slow Internet Connection (FTTH) Low power level recorded [< -2.. Low power level recorded [< -26 dbm] Field Support Auto close by sub tt:10276578 Not available,slow internet connection (ftth) low power level recorded [< -2.. low power level recorded [< -26 dbm] field support auto close sub tt:10276578 available
IPTV Related Issues,No package details found..,Auto close by sub tt:10362104,Not available,No package details found,Field Support,done. ,IPTV Related Issues No package details found.. No package details found Field Support Auto close by sub tt:10362104 done. ,iptv related issue package detail found.. package detail found field support auto close sub tt:10362104 done.
No Internet Connection (FTTH),No users online in Distributio..,Auto close by sub tt:10293526,Not available,No users online in Distribution/GPON,Field Support,Not available,No Internet Connection (FTTH) No users online in Distributio.. No users online in Distribution/GPON Field Support Auto close by sub tt:10293526 Not available,internet connection (ftth) user online distributio.. user online distribution/gpon field support auto close sub tt:10293526 available
General Inquiry,Location shifting query..,Auto close by sub tt:10234151,Not available,Location shifting query,Field Support,Not available,General Inquiry Location shifting query.. Location shifting query Field Support Auto close by sub tt:10234151 Not available,general inquiry location shifting query.. location shifting query field support auto close sub tt:10234151 available
Unknown,Unknown,Not provided,Not available,Unknown,Unknown,Not available,Unknown Unknown Unknown Unknown Not provided Not available,unknown unknown unknown unknown provided available
Accounts Related Issue,Account extend request..,Auto close by sub tt:10347798,Not available,Account extend request,Field Support,Not available,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10347798 Not available,account related issue account extend request.. account extend request field support auto close sub tt:10347798 available
No Internet Connection (FTTH),ONU status online [No connecti..,Auto close by sub tt:10252380,Not available,ONU status online [No connection log],Field Support,wireless not working//work while troubleshooting,No Internet Connection (FTTH) ONU status online [No connecti.. ONU status online [No connection log] Field Support Auto close by sub tt:10252380 wireless not working//work while troubleshooting,internet connection (ftth) onu status online [no connecti.. onu status online [no connection log] field support auto close sub tt:10252380 wireless working//work troubleshooting
General Inquiry,Client wants to upgrade to 5G ..,Auto close by sub tt:10354483,Not available,Client wants to upgrade to 5G plan,Field Support,Not available,General Inquiry Client wants to upgrade to 5G .. Client wants to upgrade to 5G plan Field Support Auto close by sub tt:10354483 Not available,general inquiry client want upgrade 5g .. client want upgrade 5g plan field support auto close sub tt:10354483 available
Accounts Related Issue,Account extend request..,Auto close by sub tt:10246520,Not available,Account extend request,Field Support,extended for 3 days,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10246520 extended for 3 days,account related issue account extend request.. account extend request field support auto close sub tt:10246520 extended 3 day
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10274804,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10274804 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10274804 available
General Inquiry,Location shifting query..,Auto close by sub tt:10242119,Not available,Location shifting query,Field Support,commented on tt,General Inquiry Location shifting query.. Location shifting query Field Support Auto close by sub tt:10242119 commented on tt,general inquiry location shifting query.. location shifting query field support auto close sub tt:10242119 commented tt
Accounts Related Issue,Account extend request..,Auto close by sub tt:10323166,Not available,Account extend request,Field Support,Account Diagnostics,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10323166 Account Diagnostics,account related issue account extend request.. account extend request field support auto close sub tt:10323166 account diagnostics
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10308240,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10308240 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10308240 available
General Inquiry,Technical Query..,Auto close by sub tt:10375774,Not available,Technical Query,Field Support,client has restarted the router //working fine,General Inquiry Technical Query.. Technical Query Field Support Auto close by sub tt:10375774 client has restarted the router //working fine,general inquiry technical query.. technical query field support auto close sub tt:10375774 client restarted router //working fine
IPTV Related Issues,Blank Screen / No Signal..,Auto close by sub tt:10366413,Not available,Blank Screen / No Signal,Field Support,Not available,IPTV Related Issues Blank Screen / No Signal.. Blank Screen / No Signal Field Support Auto close by sub tt:10366413 Not available,iptv related issue blank screen / signal.. blank screen / signal field support auto close sub tt:10366413 available
Accounts Related Issue,Account extend request..,Auto close by sub tt:10332519,Not available,Account extend request,Field Support,In minus days,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10332519 In minus days,account related issue account extend request.. account extend request field support auto close sub tt:10332519 minus day
General Inquiry,Manage cable..,Auto close by sub tt:10357541,Not available,Manage cable,Field Support,Not available,General Inquiry Manage cable.. Manage cable Field Support Auto close by sub tt:10357541 Not available,general inquiry manage cable.. manage cable field support auto close sub tt:10357541 available
Accounts Related Issue,Upgrade/Change Subscribed Pack..,Auto close by sub tt:10300448,Not available,Upgrade/Change Subscribed Package,Field Support,informed client he can change package after returning stb and select 1month while paying ,Accounts Related Issue Upgrade/Change Subscribed Pack.. Upgrade/Change Subscribed Package Field Support Auto close by sub tt:10300448 informed client he can change package after returning stb and select 1month while paying ,account related issue upgrade/change subscribed pack.. upgrade/change subscribed package field support auto close sub tt:10300448 informed client change package returning stb select 1month paying
Slow Internet Connection (FTTH),Channel interference seen at 5..,Auto close by sub tt:10249048,Not available,Channel interference seen at 5Ghz,Field Support,According to client internet in working fine now. ,Slow Internet Connection (FTTH) Channel interference seen at 5.. Channel interference seen at 5Ghz Field Support Auto close by sub tt:10249048 According to client internet in working fine now. ,slow internet connection (ftth) channel interference seen 5.. channel interference seen 5ghz field support auto close sub tt:10249048 according client internet working fine now.
No Internet Connection (FTTH),OLT Down..,Auto close by sub tt:10372437,Not available,OLT Down,Field Support,Not available,No Internet Connection (FTTH) OLT Down.. OLT Down Field Support Auto close by sub tt:10372437 Not available,internet connection (ftth) olt down.. olt field support auto close sub tt:10372437 available
Online Gaming Issue,PUBG Mobile..,Auto close by sub tt:10349484,Not available,PUBG Mobile,Field Support,Not available,Online Gaming Issue PUBG Mobile.. PUBG Mobile Field Support Auto close by sub tt:10349484 Not available,online gaming issue pubg mobile.. pubg mobile field support auto close sub tt:10349484 available
No Internet Connection (FTTH),Disconnection problem..,Auto close by sub tt:10348060,Not available,Disconnection problem,Field Support,Not available,No Internet Connection (FTTH) Disconnection problem.. Disconnection problem Field Support Auto close by sub tt:10348060 Not available,internet connection (ftth) disconnection problem.. disconnection problem field support auto close sub tt:10348060 available
IPTV Related Issues,Error Code 1598:No internet co..,Auto close by sub tt:10349448,Not available,Error Code 1598:No internet connection,Field Support,wrong tt ,IPTV Related Issues Error Code 1598:No internet co.. Error Code 1598:No internet connection Field Support Auto close by sub tt:10349448 wrong tt ,iptv related issue error code 1598:no internet co.. error code 1598:no internet connection field support auto close sub tt:10349448 wrong tt
Accounts Related Issue,Account Disabled..,Auto close by sub tt:10373911,Not available,Account Disabled,Field Support,suggested accordingly,Accounts Related Issue Account Disabled.. Account Disabled Field Support Auto close by sub tt:10373911 suggested accordingly,account related issue account disabled.. account disabled field support auto close sub tt:10373911 suggested accordingly
General Inquiry,Manage cable..,Auto close by sub tt:10291364,Not available,Manage cable,Field Support,Not available,General Inquiry Manage cable.. Manage cable Field Support Auto close by sub tt:10291364 Not available,general inquiry manage cable.. manage cable field support auto close sub tt:10291364 available
Accounts Related Issue,Refer Offer Query...,Auto close by sub tt:10435683,Not available,Refer Offer Query.,Field Support,please do needful,Accounts Related Issue Refer Offer Query... Refer Offer Query. Field Support Auto close by sub tt:10435683 please do needful,account related issue refer offer query... refer offer query. field support auto close sub tt:10435683 please needful
Accounts Related Issue,IPTV Related Issues...,Auto close by sub tt:10435670,Not available,IPTV Related Issues.,Field Support,follow up has been done,Accounts Related Issue IPTV Related Issues... IPTV Related Issues. Field Support Auto close by sub tt:10435670 follow up has been done,account related issue iptv related issues... iptv related issues. field support auto close sub tt:10435670 follow done
General Inquiry,Manage cable..,Auto close by sub tt:10297688,Not available,Manage cable,Field Support,Not available,General Inquiry Manage cable.. Manage cable Field Support Auto close by sub tt:10297688 Not available,general inquiry manage cable.. manage cable field support auto close sub tt:10297688 available
No Internet Connection (FTTH),No users online in Distributio..,Auto close by sub tt:10306347,Not available,No users online in Distribution/GPON,Field Support,Not available,No Internet Connection (FTTH) No users online in Distributio.. No users online in Distribution/GPON Field Support Auto close by sub tt:10306347 Not available,internet connection (ftth) user online distributio.. user online distribution/gpon field support auto close sub tt:10306347 available
General Inquiry,The client wants a house visit..,Auto close by sub tt:10244188,Not available,The client wants a house visit.,Field Support,wrong tt,General Inquiry The client wants a house visit.. The client wants a house visit. Field Support Auto close by sub tt:10244188 wrong tt,general inquiry client want house visit.. client want house visit. field support auto close sub tt:10244188 wrong tt
No Internet Connection (FTTH),Idle Connection..,Auto close by sub tt:10372313,Not available,Idle Connection,Field Support,working automatically now fine,No Internet Connection (FTTH) Idle Connection.. Idle Connection Field Support Auto close by sub tt:10372313 working automatically now fine,internet connection (ftth) idle connection.. idle connection field support auto close sub tt:10372313 working automatically fine
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10277065,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10277065 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10277065 available
Slow Internet Connection (FTTH),User connected beyond at 5Ghz ..,Auto close by sub tt:10350505,Not available,User connected beyond at 5Ghz coverage,Field Support,Not available,Slow Internet Connection (FTTH) User connected beyond at 5Ghz .. User connected beyond at 5Ghz coverage Field Support Auto close by sub tt:10350505 Not available,slow internet connection (ftth) user connected beyond 5ghz .. user connected beyond 5ghz coverage field support auto close sub tt:10350505 available
No Internet Connection (FTTH),ONU status online [No connecti..,Auto close by sub tt:10303780,Not available,ONU status online [No connection log],Field Support,Not available,No Internet Connection (FTTH) ONU status online [No connecti.. ONU status online [No connection log] Field Support Auto close by sub tt:10303780 Not available,internet connection (ftth) onu status online [no connecti.. onu status online [no connection log] field support auto close sub tt:10303780 available
Slow Internet Connection (FTTH),Everything seems slow at clien..,Auto close by sub tt:10234538,Not available,Everything seems slow at client end devices.,Field Support,Not available,Slow Internet Connection (FTTH) Everything seems slow at clien.. Everything seems slow at client end devices. Field Support Auto close by sub tt:10234538 Not available,slow internet connection (ftth) everything seems slow clien.. everything seems slow client end devices. field support auto close sub tt:10234538 available
Unknown,Unknown,Not provided,Not available,Unknown,Unknown,Not available,Unknown Unknown Unknown Unknown Not provided Not available,unknown unknown unknown unknown provided available
Slow Internet Connection (FTTH),Low power level recorded [< -2..,Auto close by sub tt:10238050,Not available,Low power level recorded [< -26 dbm],Field Support,done,Slow Internet Connection (FTTH) Low power level recorded [< -2.. Low power level recorded [< -26 dbm] Field Support Auto close by sub tt:10238050 done,slow internet connection (ftth) low power level recorded [< -2.. low power level recorded [< -26 dbm] field support auto close sub tt:10238050 done
Accounts Related Issue,Account extend request..,Auto close by sub tt:10366608,Not available,Account extend request,Field Support,Not available,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10366608 Not available,account related issue account extend request.. account extend request field support auto close sub tt:10366608 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10418969,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10418969 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10418969 available
No Internet Connection (FTTH),OLT Down..,Auto close by sub tt:10438716,Not available,OLT Down,Field Support,Not available,No Internet Connection (FTTH) OLT Down.. OLT Down Field Support Auto close by sub tt:10438716 Not available,internet connection (ftth) olt down.. olt field support auto close sub tt:10438716 available
Slow Internet Connection (FTTH),Current bandwidh lower than su..,Auto close by sub tt:10327943,Not available,Current bandwidh lower than subscribed,Field Support,omci profile missing // informed to senior team // suggested client to check after some time,Slow Internet Connection (FTTH) Current bandwidh lower than su.. Current bandwidh lower than subscribed Field Support Auto close by sub tt:10327943 omci profile missing // informed to senior team // suggested client to check after some time,slow internet connection (ftth) current bandwidh lower su.. current bandwidh lower subscribed field support auto close sub tt:10327943 omci profile missing // informed senior team // suggested client check time
Slow Internet Connection (FTTH),User connected at 2.4 Ghz..,Auto close by sub tt:10342514,Not available,User connected at 2.4 Ghz,Field Support, client connected in 2.4 //range fine //session refresh done //ping fine ////as per client now working fine,Slow Internet Connection (FTTH) User connected at 2.4 Ghz.. User connected at 2.4 Ghz Field Support Auto close by sub tt:10342514  client connected in 2.4 //range fine //session refresh done //ping fine ////as per client now working fine,slow internet connection (ftth) user connected 2.4 ghz.. user connected 2.4 ghz field support auto close sub tt:10342514 client connected 2.4 //range fine //session refresh done //ping fine ////as per client working fine
General Inquiry,Client wants to upgrade to Bea..,Auto close by sub tt:10255637,Not available,Client wants to upgrade to Beacon-Photon Lite,Field Support,scheduled for tomorrow,General Inquiry Client wants to upgrade to Bea.. Client wants to upgrade to Beacon-Photon Lite Field Support Auto close by sub tt:10255637 scheduled for tomorrow,general inquiry client want upgrade bea.. client want upgrade beacon-photon lite field support auto close sub tt:10255637 scheduled tomorrow
Accounts Related Issue,Account Status Query..,Auto close by sub tt:10258352,Not available,Account Status Query,Field Support,Not available,Accounts Related Issue Account Status Query.. Account Status Query Field Support Auto close by sub tt:10258352 Not available,account related issue account status query.. account status query field support auto close sub tt:10258352 available
IPTV Related Issues,Blank Screen / No Signal..,Auto close by sub tt:10295485,Not available,Blank Screen / No Signal,Field Support,Not available,IPTV Related Issues Blank Screen / No Signal.. Blank Screen / No Signal Field Support Auto close by sub tt:10295485 Not available,iptv related issue blank screen / signal.. blank screen / signal field support auto close sub tt:10295485 available
IPTV Related Issues,Error Code 1503:No internet co..,Auto close by sub tt:10293797,Not available,Error Code 1503:No internet connection,Field Support,STB not connect // suggest for visit branch,IPTV Related Issues Error Code 1503:No internet co.. Error Code 1503:No internet connection Field Support Auto close by sub tt:10293797 STB not connect // suggest for visit branch,iptv related issue error code 1503:no internet co.. error code 1503:no internet connection field support auto close sub tt:10293797 stb connect // suggest visit branch
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10257520,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10257520 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10257520 available
General Inquiry,Technical Query..,Auto close by sub tt:10322855,Not available,Technical Query,Field Support,Not available,General Inquiry Technical Query.. Technical Query Field Support Auto close by sub tt:10322855 Not available,general inquiry technical query.. technical query field support auto close sub tt:10322855 available
Accounts Related Issue,Account Status Query..,Auto close by sub tt:10260066,Not available,Account Status Query,Field Support,Not available,Accounts Related Issue Account Status Query.. Account Status Query Field Support Auto close by sub tt:10260066 Not available,account related issue account status query.. account status query field support auto close sub tt:10260066 available
General Inquiry,Technical Query..,Auto close by sub tt:10320389,Not available,Technical Query,Field Support,informed accordingly,General Inquiry Technical Query.. Technical Query Field Support Auto close by sub tt:10320389 informed accordingly,general inquiry technical query.. technical query field support auto close sub tt:10320389 informed accordingly
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10246039,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10246039 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10246039 available
No Internet Connection (FTTH),No users online in Distributio..,Auto close by sub tt:10278875,Not available,No users online in Distribution/GPON,Field Support,Not available,No Internet Connection (FTTH) No users online in Distributio.. No users online in Distribution/GPON Field Support Auto close by sub tt:10278875 Not available,internet connection (ftth) user online distributio.. user online distribution/gpon field support auto close sub tt:10278875 available
General Inquiry,Client wants to upgrade to 5G ..,Auto close by sub tt:10267672,Not available,Client wants to upgrade to 5G plan,Field Support,50 mbps unable to chage to 5g,General Inquiry Client wants to upgrade to 5G .. Client wants to upgrade to 5G plan Field Support Auto close by sub tt:10267672 50 mbps unable to chage to 5g,general inquiry client want upgrade 5g .. client want upgrade 5g plan field support auto close sub tt:10267672 50 mbps unable chage 5g
Unknown,Unknown,Not provided,Not available,Unknown,Unknown,Not available,Unknown Unknown Unknown Unknown Not provided Not available,unknown unknown unknown unknown provided available
No Internet Connection (FTTH),OLT Down..,Auto close by sub tt:10299127,Not available,OLT Down,Field Support,Not available,No Internet Connection (FTTH) OLT Down.. OLT Down Field Support Auto close by sub tt:10299127 Not available,internet connection (ftth) olt down.. olt field support auto close sub tt:10299127 available
IPTV Related Issues,Blank Screen / No Signal..,Auto close by sub tt:10308010,Not available,Blank Screen / No Signal,Field Support,now fine,IPTV Related Issues Blank Screen / No Signal.. Blank Screen / No Signal Field Support Auto close by sub tt:10308010 now fine,iptv related issue blank screen / signal.. blank screen / signal field support auto close sub tt:10308010 fine
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10328912,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10328912 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10328912 available
