PROBLEM TYPE NAME,PROBLEM,ADDITIONAL INFO,SOLUTION,ACTUAL PROBLEM,SUPPORT TYPE,SOLVED COMMENT,combined_text,cleaned_combined_text
Accounts Related Issue,Account extend request..,Auto close by sub tt:10310964,Not available,Account extend request,Field Support,Not available,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10310964 Not available,account related issue account extend request.. account extend request field support auto close sub tt:10310964 available
General Inquiry,MAC filtering request by clien..,Auto close by sub tt:10288048,Not available,MAC filtering request by client,Field Support,client verified// solved,General Inquiry MAC filtering request by clien.. MAC filtering request by client Field Support Auto close by sub tt:10288048 client verified// solved,general inquiry mac filtering request clien.. mac filtering request client field support auto close sub tt:10288048 client verified// solved
Accounts Related Issue,Account extend request..,Auto close by sub tt:10305066,Not available,Account extend request,Field Support,A/c extended// Suggested to pay//,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10305066 A/c extended// Suggested to pay//,account related issue account extend request.. account extend request field support auto close sub tt:10305066 a/c extended// suggested pay//
General Inquiry,Technical Query..,Auto close by sub tt:10356041,Not available,Technical Query,Field Support,Not available,General Inquiry Technical Query.. Technical Query Field Support Auto close by sub tt:10356041 Not available,general inquiry technical query.. technical query field support auto close sub tt:10356041 available
IPTV Related Issues,Manage cable for STB..,Auto close by sub tt:10315735,Not available,Manage cable for STB,Field Support,multiple tt,IPTV Related Issues Manage cable for STB.. Manage cable for STB Field Support Auto close by sub tt:10315735 multiple tt,iptv related issue manage cable stb.. manage cable stb field support auto close sub tt:10315735 multiple tt
Accounts Related Issue,Payment Query..,Auto close by sub tt:10417361,Not available,Payment Query,Field Support,Not available,Accounts Related Issue Payment Query.. Payment Query Field Support Auto close by sub tt:10417361 Not available,account related issue payment query.. payment query field support auto close sub tt:10417361 available
No Internet Connection (FTTH),No users online in Distributio..,Auto close by sub tt:10346617,Not available,No users online in Distribution/GPON,Field Support,Not available,No Internet Connection (FTTH) No users online in Distributio.. No users online in Distribution/GPON Field Support Auto close by sub tt:10346617 Not available,internet connection (ftth) user online distributio.. user online distribution/gpon field support auto close sub tt:10346617 available
Accounts Related Issue,Account Status Query..,Auto close by sub tt:10297694,Not available,Account Status Query,Field Support,Not available,Accounts Related Issue Account Status Query.. Account Status Query Field Support Auto close by sub tt:10297694 Not available,account related issue account status query.. account status query field support auto close sub tt:10297694 available
Online Gaming Issue,PUBG Mobile..,Auto close by sub tt:10284250,Not available,PUBG Mobile,Field Support,Not available,Online Gaming Issue PUBG Mobile.. PUBG Mobile Field Support Auto close by sub tt:10284250 Not available,online gaming issue pubg mobile.. pubg mobile field support auto close sub tt:10284250 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10298663,Not available,ONU status offline,Field Support,server issue now solved,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10298663 server issue now solved,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10298663 server issue solved
General Inquiry,Client wants to upgrade to 5G ..,Auto close by sub tt:10319313,Not available,Client wants to upgrade to 5G plan,Field Support,Not available,General Inquiry Client wants to upgrade to 5G .. Client wants to upgrade to 5G plan Field Support Auto close by sub tt:10319313 Not available,general inquiry client want upgrade 5g .. client want upgrade 5g plan field support auto close sub tt:10319313 available
Accounts Related Issue,Payment Query..,Auto close by sub tt:10395123,Not available,Payment Query,Field Support,Not available,Accounts Related Issue Payment Query.. Payment Query Field Support Auto close by sub tt:10395123 Not available,account related issue payment query.. payment query field support auto close sub tt:10395123 available
Accounts Related Issue,Query about Packages..,Auto close by sub tt:10323171,Not available,Query about Packages,Field Support,Not available,Accounts Related Issue Query about Packages.. Query about Packages Field Support Auto close by sub tt:10323171 Not available,account related issue query packages.. query package field support auto close sub tt:10323171 available
General Inquiry,Location shifting query..,Auto close by sub tt:10372341,Not available,Location shifting query,Field Support,cmmt update//call disconnect,General Inquiry Location shifting query.. Location shifting query Field Support Auto close by sub tt:10372341 cmmt update//call disconnect,general inquiry location shifting query.. location shifting query field support auto close sub tt:10372341 cmmt update//call disconnect
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10321633,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10321633 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10321633 available
Accounts Related Issue,Upgrade/Change Subscribed Pack..,Auto close by sub tt:10297715,Not available,Upgrade/Change Subscribed Package,Field Support,Not available,Accounts Related Issue Upgrade/Change Subscribed Pack.. Upgrade/Change Subscribed Package Field Support Auto close by sub tt:10297715 Not available,account related issue upgrade/change subscribed pack.. upgrade/change subscribed package field support auto close sub tt:10297715 available
Slow Internet Connection (FTTH),Speed test fine. Slow experien..,Auto close by sub tt:10372362,Not available,Speed test fine. Slow experience on certain sites,Field Support,client is outside //suggested to call from home //refresh done for now,Slow Internet Connection (FTTH) Speed test fine. Slow experien.. Speed test fine. Slow experience on certain sites Field Support Auto close by sub tt:10372362 client is outside //suggested to call from home //refresh done for now,slow internet connection (ftth) speed test fine. slow experien.. speed test fine. slow experience certain site field support auto close sub tt:10372362 client outside //suggested call home //refresh done
Accounts Related Issue,Account extend request..,Auto close by sub tt:10300275,Not available,Account extend request,Field Support,Not available,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10300275 Not available,account related issue account extend request.. account extend request field support auto close sub tt:10300275 available
Slow Internet Connection (FTTH),Low power level recorded [< -2..,Auto close by sub tt:10311625,Not available,Low power level recorded [< -26 dbm],Field Support,Not available,Slow Internet Connection (FTTH) Low power level recorded [< -2.. Low power level recorded [< -26 dbm] Field Support Auto close by sub tt:10311625 Not available,slow internet connection (ftth) low power level recorded [< -2.. low power level recorded [< -26 dbm] field support auto close sub tt:10311625 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10272607,Not available,ONU status offline,Field Support,issue in power source//informed accordingly,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10272607 issue in power source//informed accordingly,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10272607 issue power source//informed accordingly
Accounts Related Issue,Payment Query..,Auto close by sub tt:10343101,Not available,Payment Query,Field Support,on process for days add up,Accounts Related Issue Payment Query.. Payment Query Field Support Auto close by sub tt:10343101 on process for days add up,account related issue payment query.. payment query field support auto close sub tt:10343101 process day add
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10348555,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10348555 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10348555 available
No Internet Connection (FTTH),Disconnection problem..,Auto close by sub tt:10285562,Not available,Disconnection problem,Field Support,Not available,No Internet Connection (FTTH) Disconnection problem.. Disconnection problem Field Support Auto close by sub tt:10285562 Not available,internet connection (ftth) disconnection problem.. disconnection problem field support auto close sub tt:10285562 available
No Internet Connection (FTTH),Idle Connection..,Auto close by sub tt:10271626,Not available,Idle Connection,Field Support,client was out suggest to verify and  call later,No Internet Connection (FTTH) Idle Connection.. Idle Connection Field Support Auto close by sub tt:10271626 client was out suggest to verify and  call later,internet connection (ftth) idle connection.. idle connection field support auto close sub tt:10271626 client suggest verify call later
