SEVERITY NAME,ISSUED BY,PROBLEM TYPE NAME,PROBLEM,SOLVED BY,CSR GROUP,ADDITIONAL INFO,SOLUTION,ACTUAL PROBLEM,SUPPORT TYPE,SUPPORT ZONE,ISSUED BY GROUP,SOLVED COMMENT,PLANCAT TYPE,,,
Full Service Affected,admin,Slow Internet Connection (FTTH),Low power level recorded [< -2..,admin,Phone Support CSR,Auto close by sub tt:10383571,,Low power level recorded [< -26 dbm],Field Support,KALAIYA,Phone Support CSR,field visit assigned.,ATL,,,
Full Service Affected,nisha.basnet,General Inquiry,Query about Wi-fi SSID/passwor..,admin,Phone Support CSR,Auto close by sub tt:10326126,,Query about Wi-fi SSID/password,Field Support,KALABANZAR,Phone Support CSR,client  verified through  reg number ,BTL,,,
Full Service Affected,manish.basnet,General Inquiry,Query about Wi-fi SSID/passwor..,admin,Phone Support CSR,Auto close by sub tt:10323563,,Query about Wi-fi SSID/password,Field Support,SALAYAN,Phone Support CSR,user verified and password changed,BTL,,,
Full Service Affected,bibesh.shrestha,General Inquiry,Query about Wi-fi SSID/passwor..,admin,Phone Support CSR,Auto close by sub tt:10295285,,Query about Wi-fi SSID/password,Field Support,REGION7-NBU2,Phone Support CSR,,BTL,,,
Full Service Affected,chaudhary.rajesh,No Internet Connection (FTTH),ONU status offline..,admin,Phone Support CSR,Auto close by sub tt:10361695,,ONU status offline,Field Support,SALAYAN,Phone Support CSR,done,BTL,,,
Full Service Affected,sudhira.shakya,General Inquiry,Technical Query..,sachin.pakhrin,Customer Care Unit,Auto close by sub tt:10319159,,Technical Query,Field Support,TANDI,Phone Support CSR,,BTL,,,
Full Service Affected,sukhdev.chamara,General Inquiry,Client wants to add/replacerou..,admin,Phone Support CSR,Auto close by sub tt:10259715,,Client wants to add/replacerouter,Field Support,DANG,Supervisor,,BTL,,,
Limited Service,gangaram.kingring,No Internet Connection (FTTH),No users online in Distributio..,admin,Phone Support CSR,Auto close by sub tt:10336871,,No users online in Distribution/GPON,Field Support,TULSIPUR,Phone Support CSR,,BTL,,,
Full Service Affected,hum.kc,No Internet Connection (FTTH),ONU status offline..,admin,Phone Support CSR,Auto close by sub tt:10277638,,ONU status offline,Field Support,LAMAHI,D2D Marketing,solve,BTL,,,
Full Service Affected,niranjan.kapali,No Internet Connection (FTTH),ONU status offline..,admin,Phone Support CSR,Auto close by sub tt:10269654,,ONU status offline,Field Support,REGION2-NBU2,Phone Support CSR,,BTL,,,
Full Service Affected,srichan.rasaili,General Inquiry,Technical Query..,admin,Phone Support CSR,Auto close by sub tt:10316636,,Technical Query,Field Support,CHANDRAGADI,Phone Support CSR,call dc,BTL,,,
Full Service Affected,admin,Slow Internet Connection (FTTH),Low power level recorded [< -2..,admin,Phone Support CSR,Auto close by sub tt:10281795,,Low power level recorded [< -26 dbm],Field Support,KALAIYA,Phone Support CSR,,BTL,,,
Full Service Affected,aastha.acharya,Accounts Related Issue,Account Status Query..,milan.rokka,Fiber,Auto close by sub tt:10285923,,Account Status Query,Field Support,BUTWAL,Phone Support CSR,,ATL,,,
Full Service Affected,simran.bhandari,IPTV Related Issues,Blank Screen / No Signal..,admin,Phone Support CSR,Auto close by sub tt:10331464,,Blank Screen / No Signal,Field Support,BAGLUNG,Account,,BTL,,,
Full Service Affected,sagar.theeng,No Internet Connection (FTTH),Disconnection problem..,admin,Phone Support CSR,Auto close by sub tt:10189050,,Disconnection problem,Field Support,BIRGUNJ,Field Support CSR,,BTL,,,
Full Service Affected,sanju.magar,General Inquiry,Query about Wi-fi SSID/passwor..,admin,Phone Support CSR,Auto close by sub tt:10358073,,Query about Wi-fi SSID/password,Field Support,BALAJU,Phone Support CSR,,ATL,,,
Full Service Affected,nishant.sunuwar,General Inquiry,Manage cable..,pabin.gurung,Field Team,Auto close by sub tt:10317542,,Manage cable,Field Support,JANAKPUR,Phone Support Follow up Team,,ATL,,,
Full Service Affected,roshna.tamang,Accounts Related Issue,Online Payment Query..,admin,Phone Support CSR,Auto close by sub tt:10385860,,Online Payment Query,Field Support,TULSIPUR,Phone Support CSR,informed client about balance,BTL,,,
Full Service Affected,prerana.thapa,Accounts Related Issue,Upgrade/Change Subscribed Pack..,admin,Phone Support CSR,Auto close by sub tt:10430096,,Upgrade/Change Subscribed Package,Field Support,REGION2-NBU3,Phone Support CSR,,BTL,,,
Full Service Affected,admin,Slow Internet Connection (FTTH),Difference between OLT Rx and ..,bijaya.rayamajhi,Field Team,Auto close by sub tt:10259642,,Difference between OLT Rx and Onu Rx is > 5dbm,Field Support,LALBANDI,Phone Support CSR,,BTL,,,
Full Service Affected,abhisek.thami,Accounts Related Issue,Account extend request..,admin,Phone Support CSR,Auto close by sub tt:10263530,,Account extend request,Field Support,NEPALGUNJ,Sales Call Center,,BTL,,,
Full Service Affected,bishow.karki,No Internet Connection (FTTH),ONU status offline..,admin,Phone Support CSR,Auto close by sub tt:10376695,,ONU status offline,Field Support,PATHARI,Branch Supervisor,,BTL,,,
Full Service Affected,rachana.chaudhary,Accounts Related Issue,Payment Query..,admin,Phone Support CSR,Auto close by sub tt:10282349,,Payment Query,Field Support,REGION2-NBU3,Phone Support CSR,,BTL,,,
Full Service Affected,sujata.basnet,Slow Internet Connection (FTTH),Speed test fine. Slow experien..,admin,Phone Support CSR,Auto close by sub tt:10288851,,Speed test fine. Slow experience on certain sites,Field Support,BATTISPUTALI,Phone Support CSR,range fine//device ping fine//bandwidth fine//refresh done//speedtest fine//now working fine,BTL,,,
Full Service Affected,deepak.chaudharee,No Internet Connection (FTTH),ONU status offline..,admin,Phone Support CSR,Auto close by sub tt:10319064,,ONU status offline,Field Support,REGION7-NBU2,Field Team,,BTL,,,
Full Service Affected,suraj.magar,Accounts Related Issue,IPTV Related Issues...,admin,Phone Support CSR,Auto close by sub tt:10416668,,IPTV Related Issues.,Field Support,TULSIPUR,Phone Support CSR,provided req information about installation of nettv,BTL,,,
Full Service Affected,dahal.muna,IPTV Related Issues,NetTV bonus not added after pa..,pabin.gurung,Field Team,Auto close by sub tt:10401572,,NetTV bonus not added after payment,Field Support,NEPALGUNJ,Phone Support CSR,package add vako raheynxa //add gareo,BTL,,,
Full Service Affected,cyrus.pradhan,General Inquiry,Technical Query..,admin,Phone Support CSR,Auto close by sub tt:10363285,,Technical Query,Field Support,DANG,Phone Support CSR,verified/mac disabled,ATL,,,
Full Service Affected,gyanendra.bam,General Inquiry,Technical Query..,admin,Phone Support CSR,Auto close by sub tt:10372371,,Technical Query,Field Support,DHUNGEDHARA,Phone Support CSR,,ATL,,,
Full Service Affected,shakya.samman,General Inquiry,Technical Query..,admin,Phone Support CSR,Auto close by sub tt:10352313,,Technical Query,Field Support,BANEPA,Phone Support CSR,,ATL,,,
Limited Service,shree.tamang,No Internet Connection (FTTH),No users online in Distributio..,admin,Phone Support CSR,Auto close by sub tt:10286458,,No users online in Distribution/GPON,Field Support,REGION7-NBU4,Phone Support CSR,,ATL,,,
Full Service Affected,sabita.lama,No Internet Connection (FTTH),ONU status offline..,admin,Phone Support CSR,Auto close by sub tt:10267935,,ONU status offline,Field Support,BATTISPUTALI,Phone Support CSR,,ATL,,,
Limited Service,admin,No Internet Connection (FTTH),ONU status offline..,admin,Phone Support CSR,Auto close by sub tt:10261640,,ONU status offline,Field Support,BELAURI,Phone Support CSR,,BTL,,,
Full Service Affected,bikash.chhetri,No Internet Connection (FTTH),ONU online - ONU IP Issue..,admin,Phone Support CSR,Auto close by sub tt:10347280,,ONU online - ONU IP Issue,Field Support,KAWASOTI,Phone Support CSR,,BTL,,,
Full Service Affected,rima.magar,Accounts Related Issue,Payment Query..,admin,Phone Support CSR,Auto close by sub tt:10347840,,Payment Query,Field Support,LALBANDI,Phone Support CSR,inform accordingly ,BTL,,,
Full Service Affected,rojita.shrestha,Slow Internet Connection (FTTH),Speed test fine. Slow experien..,admin,Phone Support CSR,Auto close by sub tt:10331397,,Speed test fine. Slow experience on certain sites,Field Support,BATTISPUTALI,Phone Support CSR,ping fine// range fine// suggested speed test// speed test fine// now working fine,BTL,,,
Full Service Affected,lukash.rai,Slow Internet Connection (FTTH),Speed test fine. Slow experien..,admin,Phone Support CSR,Auto close by sub tt:10405256,,Speed test fine. Slow experience on certain sites,Field Support,THALI,Phone Support CSR,Refreshed done || range fine || internet, device ping seems fine || informed accordingly || informed abt 5&2.4 signa;l || | internets seems fine.,BTL,,
Full Service Affected,cyrus.pradhan,Accounts Related Issue,Query about Packages..,admin,Phone Support CSR,Auto close by sub tt:10323200,,Query about Packages,Field Support,GAIGHAT,Phone Support CSR,for new stb,BTL,,,
Full Service Affected,rozin.maharjan,No Internet Connection (FTTH),OLT Down..,admin,Phone Support CSR,Auto close by sub tt:10370399,,OLT Down,Field Support,KAWASOTI,Phone Support CSR,,BTL,,,
Full Service Affected,reyaz.akhter,General Inquiry,Manage cable..,admin,Phone Support CSR,Auto close by sub tt:10237654,,Manage cable,Field Support,REGION2-NBU2,D2D Marketing,,BTL,,,
Full Service Affected,pintu.sah,IPTV Related Issues,Authentication issue..,dipak.rawat5,Fiber O&M,Auto close by sub tt:10292570,,Authentication issue,Field Support,LALBANDI,Customer Care Unit,,BTL,,,
Limited Service,admin,No Internet Connection (FTTH),ONU status offline..,admin,Phone Support CSR,Auto close by sub tt:10298859,,ONU status offline,Field Support,DHUNGEDHARA,Phone Support CSR,,BTL,,,
Full Service Affected,shrijana.kumari,No Internet Connection (FTTH),ONU status offline..,admin,Phone Support CSR,Auto close by sub tt:10267493,,ONU status offline,Field Support,REGION2-NBU2,Account,,BTL,,,
Full Service Affected,arusa.tamang,Accounts Related Issue,Payment Query..,basudev.chaudhary,Field Team,Auto close by sub tt:10251010,,Payment Query,Field Support,KAWASOTI,Phone Support CSR,,BTL,,,
Full Service Affected,babit.rokaya,Accounts Related Issue,Payment Query..,admin,Phone Support CSR,Auto close by sub tt:10301438,,Payment Query,Field Support,LAMAHI,Phone Support CSR,,BTL,,,
Full Service Affected,karishma.bishokarma,General Inquiry,Manage cable..,kishan.thapa,Customer Care Unit,Auto close by sub tt:10248269,,Manage cable,Field Support,PATHARI,Phone Support CSR,need to shift forward to sales,BTL,,,
Full Service Affected,lukash.rai,General Inquiry,Query regarding Service Termin..,admin,Phone Support CSR,Auto close by sub tt:10369885,,Query regarding Service Termination,Field Support,BATTISPUTALI,Phone Support CSR,,ATL,,,
Full Service Affected,asmita.baral,IPTV Related Issues,Manage cable for STB..,admin,Phone Support CSR,Auto close by sub tt:10238656,,Manage cable for STB,Field Support,TANDI,Phone Support CSR,,BTL,,,
Full Service Affected,shree.tamang,General Inquiry,Technical Query..,admin,Phone Support CSR,Auto close by sub tt:10327646,,Technical Query,Field Support,REGION7-NBU2,Phone Support CSR,,BTL,,,
Limited Service,admin,No Internet Connection (FTTH),ONU status offline..,admin,Phone Support CSR,Auto close by sub tt:10289770,,ONU status offline,Field Support,REGION6-NBU2,Phone Support CSR,onu online. connection checked. please verify once. call not received.,BTL,,,
Full Service Affected,anita.acharya1,Accounts Related Issue,Account Status Query..,admin,Phone Support CSR,Auto close by sub tt:10374098,,Account Status Query,Field Support,KALAIYA,Phone Support CSR,,BTL,,,
Full Service Affected,chris.maharjan,Accounts Related Issue,Query about Account hold..,jitensingh.tharu,Field Team,Auto close by sub tt:10356144,,Query about Account hold,Field Support,GOLBAZAR,Phone Support CSR,informed accordingly,BTL,,,
Full Service Affected,sushil.rokaya,No Internet Connection (FTTH),Disconnection problem..,basudev.chaudhary,Field Team,Auto close by sub tt:10289773,,Disconnection problem,Field Support,SURKHET,Account,,BTL,,,
Full Service Affected,dipesh.maharjan1,Accounts Related Issue,Online Payment Query..,admin,Phone Support CSR,Auto close by sub tt:10352228,,Online Payment Query,Field Support,GOLBAZAR,Phone Support CSR,,BTL,,,
Full Service Affected,omshankar.sah,No Internet Connection (FTTH),ONU status offline..,admin,Phone Support CSR,Auto close by sub tt:10286570,,ONU status offline,Field Support,CHAPUR,Field Support CSR,,BTL,,,
Full Service Affected,charitra.bogati,No Internet Connection (FTTH),ONU status offline..,admin,Phone Support CSR,Auto close by sub tt:10298102,,ONU status offline,Field Support,NEPALGUNJ,Field Support CSR,,BTL,,,
